Gene	Paralogs
A1BG	OSCAR,TARM1,VSTM1
A3GALT2	GLT6D1
A4GALT	A4GNT
A4GNT	A4GALT
AAMP	NWD2
AARSD1	PTGES3L-AARSD1
AATK	LMTK3
ABCD1	ABCD2
ABCD2	ABCD1
ABCF2	AC021097.2
ABHD1	ABHD3
ABHD14A-ACY1	ACY1
ABHD15	ABHD2
ABHD2	ABHD15
ABHD3	ABHD1
ABHD4	ABHD5
ABHD5	ABHD4
ABI3BP	FNDC1
ABL1	ABL2
ABL2	ABL1
ABLIM1	DMTN
ABLIM2	ABLIM3
ABLIM3	ABLIM2
ABO	GBGT1
ABR	BCR
ABRAXAS1	ABRAXAS2
ABRAXAS2	ABRAXAS1
AC000120.3	FRMD8,KRIT1
AC001226.2	CLN5
AC002094.3	PRG4,VTN
AC002310.4	AC002310.5,ZNF747,ZNF764
AC002310.5	AC002310.4,ZNF747,ZNF764
AC002985.1	HOMER3
AC002996.1	ALDH2
AC003002.1	ZNF548
AC003002.3	ZNF17
AC003005.1	AC004076.1,ZNF419
AC003006.1	ZNF776
AC003688.1	CLDN7
AC004076.1	AC003005.1,ZNF419
AC004080.3	HOXA9
AC004556.1	MRPL23
AC004593.3	CHN1,CHN2
AC004687.2	RNF43,ZNRF3
AC004691.2	AQP1
AC004754.1	FAM234A,FAM234B
AC004832.3	SEC14L2
AC004922.1	ARPC1A
AC004997.1	TBC1D10A
AC005041.1	C2orf81
AC005154.5	GGCT
AC005324.3	CDRT1,FBXW10
AC005324.4	ZNF286A,ZNF286B
AC005520.1	PTGR2
AC005670.2	GOSR2,VTI1A
AC005697.1	LYRM9
AC005702.1	RPS6KB1
AC005726.1	SPAG5
AC005832.4	DYRK4
AC005833.1	GALNT8
AC005943.1	UQCR11
AC006030.1	DCTN1
AC006059.2	CCDC13
AC006064.6	CHD4
AC006254.1	MUSTN1,STIMATE,TMEM110-MUSTN1
AC006455.4	AC073188.4
AC006486.1	GSK3A,GSK3B
AC006518.7	PRH1,PRH2
AC007040.2	TEX261
AC007192.1	PIK3R2
AC007240.1	RRM2,RRM2B
AC007325.1	AC023491.2
AC007325.2	PRODH,PRODH2
AC007325.4	AC007326.4,DGCR6,DGCR6L
AC007326.4	AC007325.4,DGCR6,DGCR6L
AC007359.1	AC008175.1
AC007731.5	KLHL22
AC007952.1	AC106017.2
AC007952.8	AC106017.1
AC008012.1	CCND2
AC008073.3	FAM228A,FAM228B
AC008175.1	AC007359.1
AC008397.2	PDE4C
AC008403.1	CYTH2
AC008481.3	ZNF653
AC008575.1	APC,APC2
AC008581.2	AGGF1
AC008676.3	FNDC9
AC008687.1	CGB1,CGB2,CGB3,CGB5,CGB7,CGB8,LHB
AC008695.1	RAPGEF6
AC008758.1	AC008758.6,AC008770.1,ZNF14,ZNF57,ZNF625-ZNF20,ZNF709,ZNF791
AC008758.4	AC008758.5,ZNF101,ZNF433,ZNF44,ZNF441,ZNF442,ZNF443,ZNF563,ZNF700,ZNF799,ZNF823,ZNF844,ZNF878
AC008758.5	AC008758.4,ZNF101,ZNF433,ZNF44,ZNF441,ZNF442,ZNF443,ZNF563,ZNF700,ZNF799,ZNF823,ZNF844,ZNF878
AC008758.6	AC008758.1,AC008770.1,ZNF14,ZNF57,ZNF625-ZNF20,ZNF709,ZNF791
AC008764.1	MED26
AC008770.1	AC008758.1,AC008758.6,ZNF14,ZNF57,ZNF625-ZNF20,ZNF709,ZNF791
AC008770.2	ZNF439,ZNF440,ZNF491,ZNF69,ZNF763
AC008878.3	ARHGEF18
AC008982.1	HNRNPL
AC009086.2	QPRT
AC009133.6	PRRT2
AC009163.4	TMEM170A
AC009167.1	AC136443.4
AC009336.2	HOXD4
AC009690.1	HEXA,HEXB
AC009690.3	CELF5,CELF6
AC009879.2	AC009879.3,ADHFE1
AC009879.3	AC009879.2,ADHFE1
AC010132.3	PSMA2
AC010197.2	LDHB
AC010319.2	TMEM221
AC010323.1	NDUFA7
AC010327.1	DNAAF3
AC010422.3	MAN2B1
AC010422.5	MAN2B1
AC010422.6	ZNF490
AC010422.8	DHPS
AC010463.1	BABAM1
AC010487.3	ZNF320
AC010522.1	ZNF417,ZNF587
AC010531.1	C16orf95
AC010547.4	ZNF19
AC010615.4	ZNF729,ZNF99
AC010616.2	ATP1A3
AC011005.1	MAP2K1,MAP2K2
AC011043.1	AC011043.2,AC011841.1
AC011043.2	AC011043.1,AC011841.1
AC011195.2	IGBP1
AC011448.1	NAXE,YJEFN3
AC011455.2	SARS,SARS2
AC011462.1	BCKDHA,PDHA1,PDHA2
AC011473.4	KLK9
AC011479.1	C19orf33
AC011499.1	DUS3L
AC011511.1	FDX2
AC011511.4	RAVER1
AC011530.1	DMPK
AC011604.2	AC022335.1,SLCO1A2,SLCO1B1,SLCO1B3,SLCO1B7
AC011841.1	AC011043.1,AC011043.2
AC012184.2	DDX19A,DDX19B
AC012213.5	SLC25A32
AC012254.2	IER3IP1
AC012309.1	ZNF585A,ZNF585B
AC012476.1	RAD51
AC012531.2	HOXC5
AC012651.1	GANC
AC013394.1	CHD2
AC013489.1	DET1
AC013717.1	PPM1B
AC015813.2	SRSF1
AC017083.3	PPP3R1
AC018362.3	LRRC57
AC018523.2	PSMA1
AC018709.1	MTNR1A
AC018755.2	SIGLEC10,SIGLEC11,SIGLEC14,SIGLEC5
AC019117.2	AHR
AC020907.6	FXYD1,FXYD2,FXYD3,FXYD4,FXYD6,FXYD6-FXYD2,FXYD7
AC020909.1	SPIB
AC020915.5	ZNF544
AC020922.1	FAM71E2
AC021097.2	ABCF2
AC021097.3	H2BFM,H2BFWT
AC021660.3	CPOX
AC022335.1	AC011604.2,SLCO1A2,SLCO1B1,SLCO1B3,SLCO1B7
AC022384.1	TATDN2
AC022400.6	NDST2
AC022414.1	PDE8B
AC022826.2	UBE2W
AC023055.1	DNAJC14
AC023491.2	AC007325.1
AC023509.3	ATF7
AC024592.3	NDUFA11
AC025263.2	RAB3IP
AC025287.4	CPHXL
AC026316.5	CLDN11
AC026398.1	ACSL1
AC026464.1	TMED6
AC026464.3	COG8
AC026464.4	VPS4A
AC026464.6	COG8
AC026786.1	ZNF10
AC026954.2	NEURL4
AC027644.4	RABGEF1
AC027796.3	FGGY,SHPK
AC034102.2	PA2G4
AC036214.3	TPD52
AC037459.1	C8orf58
AC048338.1	VPS33A
AC048382.4	AC136698.1
AC055811.2	FLCN
AC058822.1	PDGFRA
AC067930.1	RN7SKP156,RN7SKP160,RN7SKP175,RN7SKP233,RN7SKP292,RN7SKP55,RN7SKP80
AC067968.1	ZNF222,ZNF223
AC068234.1	ITGB3,ITGB8
AC068533.4	ASL,FH
AC068547.1	CACNB3,CACNB4
AC068580.4	CTSD
AC068631.2	DNAJB11
AC068775.1	KLRC2,KLRC3
AC068831.7	VPS33B
AC068896.1	EEF1AKMT2
AC068946.2	ATG9A,ATG9B
AC069257.3	TCTEX1D2
AC069368.1	PLEKHO1,PLEKHO2
AC069444.2	MAATS1
AC069503.2	PSMD9
AC073082.1	LHCGR
AC073111.5	ZNF777
AC073188.4	AC006455.4
AC073508.2	KRT222
AC073610.2	AC073610.3,ARF1,ARF3
AC073610.3	AC073610.2,ARF1,ARF3
AC073612.1	THAP2
AC073896.1	CNPY2
AC074143.1	FBXL8
AC078927.1	TMBIM4,TMBIM6
AC079447.1	MRPL30
AC079594.2	TRIM59
AC083800.1	C3orf30,EFCAB10
AC084121.11	AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.12	AC084121.11,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.13	AC084121.11,AC084121.12,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.5	AC084121.11,AC084121.12,AC084121.13,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.6	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.7	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.8,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.8	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.9,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084121.9	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC134684.11,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC084337.2	TIMM10B
AC087632.1	PCLAF
AC090004.1	TMEM43
AC090227.1	MYO5B
AC090517.4	ZNF280D
AC090527.2	SQOR
AC091057.6	ARHGAP11A,ARHGAP11B
AC091167.2	TTLL13P
AC091167.7	GDPGP1
AC091959.3	RBM26,RBM27
AC092017.3	AL590132.1,KCNH1
AC092042.3	KRBOX1
AC092073.1	PDCD2L
AC092143.1	TUBB3
AC092329.3	ZNF100,ZNF114,ZNF253,ZNF257,ZNF273,ZNF430,ZNF431,ZNF479,ZNF626,ZNF66,ZNF675,ZNF680,ZNF723,ZNF730,ZNF737,ZNF92,ZNF98
AC092647.5	MRPS17
AC092683.1	AC159540.2
AC092718.3	AC092718.8,GCSH
AC092718.8	AC092718.3,GCSH
AC093155.3	HS2ST1,UST
AC093227.2	ZNF607
AC093323.1	MRFAP1,MRFAP1L1
AC093512.2	ALDOA,ALDOB
AC093525.1	AMDHD2
AC093525.2	TBC1D24
AC093525.5	AC141586.2
AC093668.1	RASA4,RASA4B
AC093668.2	AC093668.3,AC105052.1,UPK3A,UPK3B,UPK3BL1
AC093668.3	AC093668.2,AC105052.1,UPK3A,UPK3B,UPK3BL1
AC093827.5	C4orf36
AC093899.2	BBS5
AC096887.1	RFT1
AC097625.1	CLTRN
AC097634.4	FOXP1
AC097636.1	IQCF1,IQCF2,IQCF3,IQCF5,IQCF6
AC097637.1	TLR9
AC098582.1	HERC3
AC098588.1	ANAPC10
AC098650.1	ZCWPW1,ZCWPW2
AC098850.3	CCDC144A,CCDC144NL
AC099811.2	RAB5C
AC099850.2	SMG8
AC100868.1	OC90
AC104389.4	TRIM5
AC104389.5	HBG1,HBG2
AC104452.1	NICN1
AC104472.3	MFSD3,SLC33A1
AC104662.2	AL355315.1,PI4K2A,PI4K2B
AC105052.1	AC093668.2,AC093668.3,UPK3A,UPK3B,UPK3BL1
AC105052.3	POLR2J,POLR2J2,POLR2J3
AC106017.1	AC007952.8
AC106017.2	AC007952.1
AC106774.4	CENPA,H3.Y,H3F3C
AC106886.5	SRCAP
